sum,GDP_MD_EST,ISO_A2,POP_RANK,ISO_A3,CONTINENT,POP_EST,INCOME_GRP,SUBREGION,system:index,NAME
2.0,281.8,FK,4,FLK,South America,2931,1. High income: OECD,South America,00000000000000000014,Falkland Is.
553858.5019607843,879400.0,AR,15,ARG,South America,44293293,3. Upper middle income,South America,00000000000000000009,Argentina
21105.36470588235,436100.0,CL,14,CHL,South America,17789267,3. Upper middle income,South America,0000000000000000000a,Chile
29297.37647058822,73250.0,UY,12,URY,South America,3360148,3. Upper middle income,South America,0000000000000000001c,Uruguay
747104.3803921568,3081000.0,BR,17,BRA,South America,207353391,3. Upper middle income,South America,0000000000000000001d,Brazil
12065.631372549018,410400.0,PE,15,PER,South America,31036656,3. Upper middle income,South America,0000000000000000001f,Peru
6063.011764705882,688000.0,CO,15,COL,South America,47698524,3. Upper middle income,South America,00000000000000000020,Colombia
4983.894117647059,468600.0,VE,15,VEN,South America,31304016,3. Upper middle income,South America,00000000000000000028,Venezuela
415.01176470588234,8547.0,SR,11,SUR,South America,591919,3. Upper middle income,South America,0000000000000000002a,Suriname
3668.929411764706,182400.0,EC,14,ECU,South America,16290913,3. Upper middle income,South America,0000000000000000002c,Ecuador
38218.83137254901,78350.0,BO,14,BOL,South America,11138234,4. Lower middle income,South America,0000000000000000001e,Bolivia
852.0705882352943,6093.0,GY,11,GUY,South America,737718,4. Lower middle income,South America,00000000000000000029,Guyana
43053.61960784314,64670.0,PY,13,PRY,South America,6943739,4. Lower middle income,South America,0000000000000000009b,Paraguay
