sum,GDP_MD_EST,ISO_A2,POP_RANK,ISO_A3,CONTINENT,POP_EST,INCOME_GRP,SUBREGION,system:index,NAME
5235.411764705883,66010.0,CD,16,COD,Africa,83301151,5. Low income,Middle Africa,0000000000000000000b,Dem. Rep. Congo
40286.113725490184,30590.0,TD,14,TCD,Africa,12075985,5. Low income,Middle Africa,0000000000000000000f,Chad
279.83137254901965,3206.0,CF,13,CAF,Africa,5625118,5. Low income,Middle Africa,00000000000000000042,Central African Rep.
175513.9333333333,150600.0,TZ,16,TZA,Africa,53950935,5. Low income,Eastern Africa,00000000000000000001,Tanzania
8584.458823529412,4719.0,SO,13,SOM,Africa,7531386,5. Low income,Eastern Africa,0000000000000000000c,Somalia
18151.509803921566,152700.0,KE,15,KEN,Africa,47615739,5. Low income,Eastern Africa,0000000000000000000d,Kenya
42116.14901960785,28330.0,ZW,14,ZWE,Africa,13805084,5. Low income,Eastern Africa,00000000000000000030,Zimbabwe
42976.66274509801,21200.0,MW,14,MWI,Africa,19196246,5. Low income,Eastern Africa,00000000000000000047,Malawi
42531.909803921546,35010.0,MZ,15,MOZ,Africa,26573706,5. Low income,Eastern Africa,00000000000000000048,Mozambique
9181.321568627449,7892.0,BI,14,BDI,Africa,11466756,5. Low income,Eastern Africa,0000000000000000004b,Burundi
25849.74901960784,36860.0,MG,15,MDG,Africa,25054161,5. Low income,Eastern Africa,0000000000000000004e,Madagascar
5772.309803921569,9169.0,ER,13,ERI,Africa,5918919,5. Low income,Eastern Africa,00000000000000000099,Eritrea
207205.56470588237,174700.0,ET,17,ETH,Africa,105350020,5. Low income,Eastern Africa,000000000000000000a3,Ethiopia
10118.250980392158,84930.0,UG,15,UGA,Africa,39570125,5. Low income,Eastern Africa,000000000000000000a6,Uganda
9184.98039215686,21970.0,RW,14,RWA,Africa,11901484,5. Low income,Eastern Africa,000000000000000000a7,Rwanda
1615.9058823529413,20880.0,SS,14,SSD,Africa,13026129,5. Low income,Eastern Africa,000000000000000000ae,S. Sudan
84203.35294117643,38090.0,ML,14,MLI,Africa,17885245,5. Low income,Western Africa,00000000000000000034,Mali
2801.9490196078427,16710.0,MR,12,MRT,Africa,3758571,5. Low income,Western Africa,00000000000000000035,Mauritania
28590.682352941174,24310.0,BJ,14,BEN,Africa,11038805,5. Low income,Western Africa,00000000000000000036,Benin
65260.819607843136,20150.0,NE,14,NER,Africa,19245344,5. Low income,Western Africa,00000000000000000037,Niger
16764.176470588227,11610.0,TG,13,TGO,Africa,7965055,5. Low income,Western Africa,0000000000000000003a,Togo
4057.30588235294,16080.0,GN,14,GIN,Africa,12413867,5. Low income,Western Africa,0000000000000000003d,Guinea
819.5490196078431,2851.0,GW,12,GNB,Africa,1792338,5. Low income,Western Africa,0000000000000000003e,Guinea-Bissau
